ticker,earnings_date,direction,pct_change,abs_change,magnitude,sector,finbert_positive,finbert_negative,finbert_neutral,finbert_confidence,guidance_raised_count,guidance_lowered_count,confidence_score,uncertainty_score,guidance_direction,text_length,avg_sentence_sentiment,sentiment_volatility,positive_sentence_ratio,negative_sentence_ratio,forward_looking_ratio,tb_polarity,tb_subjectivity,word_count,unique_positive_signals,unique_negative_signals,momentum_5d,momentum_10d,volatility,volume_surge,rsi,price_slope,dist_52w_high,avg_volume
GOOGL,2024-10-29,UP,2.8171,2.8171,MEDIUM,Tech,0.1323,0.0496,0.8181,0.8181,0,0,0,0,0.0,2414,0.0231,0.0936,0.1,0.05,0.0412,0.0833,0.1944,97,0,0,0.9568,1.4235,0.9152,1.1966,42.4,0.1215,-12.6785,20719893.0
GOOGL,2024-07-23,DOWN,-5.0388,5.0388,LARGE,Tech,0.9453,0.0231,0.0316,0.9453,0,0,0,0,0.0,2421,0.0319,0.0763,0.1667,0.0,0.0,0.1,0.1407,135,0,0,-1.2234,-0.7214,1.5229,1.1815,55.54,-0.5675,-4.9744,19267927.0
GOOGL,2024-04-25,UP,10.2244,10.2244,LARGE,Tech,0.5704,0.0476,0.382,0.5704,0,0,0,0,0.0,2489,0.0056,0.0157,0.0,0.0,0.0325,0.025,0.1,123,0,0,1.9999,5.7132,1.1371,0.9312,55.06,0.2843,-0.1756,25191913.0
AMZN,2026-02-05,DOWN,-5.5548,5.5548,LARGE,Tech,0.1721,0.0571,0.7708,0.7708,0,0,0,1,0.0,2711,0.0506,0.1561,0.1304,0.0,0.0123,0.0984,0.1594,163,0,1,-3.6156,-1.5466,1.6427,1.116,46.35,0.2984,-8.2717,42615840.0
AMZN,2025-10-31,UP,4.0046,4.0046,MEDIUM,Tech,0.0133,0.9222,0.0644,0.9222,0,0,0,0,0.0,2585,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,129,0,0,-0.6021,2.9995,1.596,1.3724,50.83,0.9411,-7.9319,48914727.0
AMZN,2025-08-01,DOWN,-1.4435,1.4435,SMALL,Tech,0.3173,0.066,0.6168,0.6168,0,0,0,0,0.0,2550,0.025,0.075,0.1,0.0,0.0315,0.0909,0.0909,127,0,0,1.1536,4.0396,0.92,1.4128,53.86,0.665,-3.2843,40360747.0
AMZN,2025-05-01,DOWN,-0.1157,0.1157,SMALL,Tech,0.052,0.1253,0.8227,0.8227,0,0,0,0,0.0,2580,0.0,0.0,0.0,0.0,0.0325,0.0,0.0,123,0,0,-1.1365,-3.4956,2.6643,0.8105,59.76,0.2352,-23.8123,53493087.0
AMZN,2025-02-06,DOWN,-4.0531,4.0531,MEDIUM,Tech,0.0443,0.2186,0.7371,0.7371,0,0,0,0,0.0,2275,-0.0049,0.0369,0.087,0.087,0.0,0.0066,0.0909,113,0,0,0.6521,5.7399,1.3873,1.0106,60.56,1.1032,-2.4333,34871907.0
AMZN,2024-10-31,UP,6.1856,6.1856,LARGE,Tech,0.8537,0.0844,0.0619,0.8537,0,0,0,0,0.0,2526,0.0,0.0,0.0,0.0,0.018,0.0,0.0,111,0,0,3.407,3.2574,0.9699,1.1706,33.86,0.1892,-3.635,28853933.0
AMZN,2024-08-01,DOWN,-8.7847,8.7847,LARGE,Tech,0.6794,0.0497,0.2709,0.6794,0,0,0,0,0.0,2409,-0.0026,0.0112,0.0,0.0,0.0171,0.0,0.0,117,0,0,3.9644,-4.1374,1.6258,0.9389,53.35,-0.8916,-6.51,40630740.0
AMZN,2024-05-02,UP,0.8066,0.8066,SMALL,Tech,0.1321,0.1427,0.7252,0.7252,0,0,0,0,0.0,2637,0.0,0.0,0.0,0.0,0.0336,0.0,0.0,119,0,0,3.069,-5.3161,1.8727,1.6821,53.53,-0.6729,-5.3161,48222127.0
META,2026-01-29,DOWN,-2.954,2.954,MEDIUM,Tech,0.0626,0.0434,0.894,0.894,0,0,0,0,0.0,2472,0.0911,0.2258,0.1905,0.0952,0.0,0.1962,0.3346,141,0,0,3.258,3.0893,2.0983,1.1337,57.44,1.76,-15.2244,16269207.0
META,2025-10-29,DOWN,-11.3348,11.3348,LARGE,Tech,0.6985,0.0376,0.2639,0.6985,0,0,0,0,0.0,2728,0.0118,0.0322,0.1176,0.0,0.0276,0.0444,0.0444,145,0,0,2.4584,4.6807,1.4996,1.0346,33.5,2.5079,-4.8168,10524660.0
META,2025-07-30,UP,11.2527,11.2527,LARGE,Tech,0.0331,0.0396,0.9273,0.9273,0,0,0,0,0.0,2492,0.0324,0.0937,0.1111,0.0,0.0153,0.1273,0.1636,131,0,0,-1.9031,-4.4734,1.0562,0.9538,39.27,-1.1075,-5.1606,10573160.0
META,2025-04-30,UP,4.2277,4.2277,MEDIUM,Tech,0.8304,0.0343,0.1354,0.8304,1,0,0,0,1.0,2652,0.0,0.0,0.0,0.0,0.0826,0.0,0.0,121,1,0,6.5677,8.6179,4.8564,0.7716,60.51,-0.1381,-24.67,19056467.0
META,2025-01-29,UP,1.5536,1.5536,SMALL,Tech,0.2248,0.0369,0.7383,0.7383,0,0,0,0,0.0,2496,0.026,0.0463,0.25,0.0,0.0163,0.0769,0.1026,123,0,0,8.1524,7.0025,1.7409,1.5285,51.63,3.2464,0.0,14919380.0
META,2024-10-30,DOWN,-4.0926,4.0926,MEDIUM,Tech,0.0189,0.9305,0.0506,0.9305,0,0,0,0,0.0,2800,0.0182,0.0493,0.125,0.0,0.0397,0.0778,0.1222,151,0,0,5.2493,0.4691,1.3596,1.2186,44.9,-0.8806,-0.4464,9651260.0
META,2024-07-31,UP,4.8249,4.8249,MEDIUM,Tech,0.0081,0.9546,0.0373,0.9546,0,0,0,0,0.0,2676,0.036,0.0998,0.1176,0.0,0.0,0.14,0.1867,151,0,0,0.4162,-13.3722,2.6846,0.8011,33.56,-4.0477,-14.2098,15374767.0
META,2024-04-24,DOWN,-10.5613,10.5613,LARGE,Tech,0.5361,0.0435,0.4203,0.5361,1,0,0,0,1.0,2537,0.0,0.0,0.0,0.0,0.0331,0.025,0.2,121,1,0,0.3905,-2.0997,1.955,1.2869,45.73,-2.4194,-5.9241,14910973.0
NVDA,2026-02-25,DOWN,-5.4561,5.4561,LARGE,Semi,0.0815,0.7665,0.152,0.7665,0,0,0,0,0.0,3081,0.0074,0.0396,0.125,0.0625,0.0242,0.0367,0.17,165,0,0,2.5907,6.9369,2.579,0.9884,56.93,0.9672,-6.8486,177104627.0
